,Reference area,TIME_PERIOD,OBS_VALUE
498,Denmark,2014-Q3,6.933333
499,Denmark,2014-Q4,6.866667
500,Denmark,2015-Q1,6.366667
501,Denmark,2015-Q2,6.333333
502,Denmark,2015-Q3,6.233333
503,Denmark,2015-Q4,6.133333
504,Denmark,2016-Q1,5.966667
505,Denmark,2016-Q2,6.066667
506,Denmark,2016-Q3,6.0
507,Denmark,2016-Q4,5.9
508,Denmark,2017-Q1,6.1
509,Denmark,2017-Q2,5.866667
510,Denmark,2017-Q3,5.933333
511,Denmark,2017-Q4,5.4
512,Denmark,2018-Q1,5.2
513,Denmark,2018-Q2,5.133333
514,Denmark,2018-Q3,4.9
515,Denmark,2018-Q4,5.266667
516,Denmark,2019-Q1,5.133333
517,Denmark,2019-Q2,4.9
518,Denmark,2019-Q3,4.866667
519,Denmark,2019-Q4,5.1
520,Finland,1994-Q1,17.0
521,Finland,1994-Q2,17.06667
522,Finland,1994-Q3,16.53333
523,Finland,1994-Q4,15.7
524,Finland,1995-Q1,15.1
525,Finland,1995-Q2,14.83333
526,Finland,1995-Q3,15.0
527,Finland,1995-Q4,15.2
528,Finland,1996-Q1,14.73333
529,Finland,1996-Q2,14.4
530,Finland,1996-Q3,14.86667
531,Finland,1996-Q4,14.2
532,Finland,1997-Q1,13.4
533,Finland,1997-Q2,12.96667
534,Finland,1997-Q3,12.33333
535,Finland,1997-Q4,12.0
536,Finland,1998-Q1,11.73333
537,Finland,1998-Q2,11.66667
538,Finland,1998-Q3,11.26667
539,Finland,1998-Q4,10.83333
540,Finland,1999-Q1,10.6
541,Finland,1999-Q2,10.33333
542,Finland,1999-Q3,10.1
543,Finland,1999-Q4,10.1
544,Finland,2000-Q1,10.16667
545,Finland,2000-Q2,9.8
546,Finland,2000-Q3,9.6
547,Finland,2000-Q4,9.4
548,Finland,2001-Q1,9.266666
549,Finland,2001-Q2,9.1
550,Finland,2001-Q3,9.066667
551,Finland,2001-Q4,9.1
552,Finland,2002-Q1,9.1
553,Finland,2002-Q2,9.133333
554,Finland,2002-Q3,9.1
555,Finland,2002-Q4,9.0
556,Finland,2003-Q1,8.966666
557,Finland,2003-Q2,9.3
558,Finland,2003-Q3,8.9
559,Finland,2003-Q4,8.966666
560,Finland,2004-Q1,8.866667
561,Finland,2004-Q2,9.2
562,Finland,2004-Q3,8.633333
563,Finland,2004-Q4,8.566667
564,Finland,2005-Q1,8.7
565,Finland,2005-Q2,8.433333
566,Finland,2005-Q3,8.133333
567,Finland,2005-Q4,8.233334
568,Finland,2006-Q1,8.0
569,Finland,2006-Q2,7.766667
570,Finland,2006-Q3,7.633333
571,Finland,2006-Q4,7.366667
572,Finland,2007-Q1,7.166667
573,Finland,2007-Q2,6.666667
574,Finland,2007-Q3,6.9
575,Finland,2007-Q4,6.633333
576,Finland,2008-Q1,6.333333
577,Finland,2008-Q2,6.166667
578,Finland,2008-Q3,6.4
579,Finland,2008-Q4,6.566667
580,Finland,2009-Q1,7.4
581,Finland,2009-Q2,8.666667
582,Finland,2009-Q3,8.533334
583,Finland,2009-Q4,9.033334
584,Finland,2010-Q1,8.966666
585,Finland,2010-Q2,8.566667
586,Finland,2010-Q3,8.4
587,Finland,2010-Q4,8.333333
588,Finland,2011-Q1,8.466666
589,Finland,2011-Q2,7.866667
590,Finland,2011-Q3,7.8
591,Finland,2011-Q4,7.766667
592,Finland,2012-Q1,7.7
593,Finland,2012-Q2,7.6
594,Finland,2012-Q3,8.1
595,Finland,2012-Q4,7.866667
596,Finland,2013-Q1,8.433333
597,Finland,2013-Q2,8.166667
598,Finland,2013-Q3,8.1
599,Finland,2013-Q4,8.533334
600,Finland,2014-Q1,8.666667
601,Finland,2014-Q2,8.633333
